Cust_Num,Payment_Method_description,Document_No,Amount,Amount_Bins,Zipcode,Region,City,Customer_Name,Age_Of_Customer_Months,Age_Of_Customer_Year,Customer_Age_Year_Bins,Payment_Term,Payment_Term_Bins,No_of_orders_by_customer,Rank_of_order_by_customer,Weekday_due,Quarter_clearing,Weekday_due.1,days_to_pay_terms,due_month,due_dayofweek
5039221094,1,91225037841,8685,0,2,2,2,0,155.0,12.0,1,5,0,9712,952,1,2,2,5,4,0
5039221094,0,91225076622,70162,4,2,2,2,20,155.0,12.0,1,5,0,9712,8977,3,1,1,5,2,6
5039221093,1,91225044539,2933,0,36,16,35,0,155.0,12.0,1,94,4,6367,1661,2,3,7,94,8,5
5039221092,1,91225034503,4179,0,16,10,16,0,155.0,12.0,1,5,0,7838,203,3,1,1,5,3,6
5039221092,0,91225075060,7582,0,16,10,16,3,155.0,12.0,1,5,0,7838,7772,1,1,2,5,2,0
5039221090,0,91225078304,268,0,20,14,20,21,155.0,12.0,1,5,0,10219,9880,6,1,4,5,2,2
5039221093,1,91225034208,151,0,36,16,35,0,155.0,12.0,1,5,0,6367,124,2,1,7,5,3,5
5039221089,0,91225072872,7756,0,18,12,18,14,155.0,12.0,1,44,3,2636,2551,2,1,7,44,1,5
5039221083,3,91225067606,347,0,44,3,43,8,155.0,12.0,1,60,3,253,169,2,4,7,60,1,5
5039221093,0,91225068204,3883,0,36,16,35,10,155.0,12.0,1,5,0,6367,5177,5,4,3,5,12,1
5039221093,0,91225078806,43267,0,36,16,35,10,155.0,12.0,1,5,0,6367,5706,5,1,3,5,1,1
5039221090,0,91225070412,844,0,20,14,20,21,155.0,12.0,1,5,0,10219,7554,1,4,2,5,12,0
5039221094,1,91225049092,1260,0,2,2,2,0,155.0,12.0,1,5,0,9712,3307,3,3,1,5,7,6
5039221078,2,91225037630,8162,0,33,15,33,52,155.0,12.0,1,148,4,49,8,2,2,7,148,4,5
5039221094,0,91225077224,989,0,2,2,2,20,155.0,12.0,1,5,0,9712,8799,1,1,2,5,2,0
5039221095,1,91225050102,13858,0,13,9,13,36,155.0,12.0,1,5,0,3935,1416,2,3,7,5,7,5
5039221089,1,91225033380,68,0,18,12,18,0,155.0,12.0,1,40,3,2636,119,2,1,7,40,2,5
5039221094,1,91225040166,14412,0,2,2,2,0,155.0,12.0,1,5,0,9712,1420,2,2,7,5,4,5
5039221093,1,91225057878,5152,0,36,16,35,0,155.0,12.0,1,5,0,6367,3592,5,3,3,5,9,1
5039221087,2,91225041024,635,0,28,15,28,47,155.0,12.0,1,148,4,77,16,5,2,3,148,5,1
5039221090,1,91225049385,785,0,20,14,20,0,155.0,12.0,1,5,0,10219,3677,5,3,3,5,7,1
5039221094,0,91225069455,4854,0,2,2,2,20,155.0,12.0,1,5,0,9712,7188,6,4,4,5,12,2
5039221083,3,91225072445,1302,0,44,3,43,8,155.0,12.0,1,34,3,253,220,1,1,2,34,2,0
5039221092,1,91225039181,12829,0,16,10,16,0,155.0,12.0,1,5,0,7838,953,1,2,2,5,4,0
5039221095,1,91225043972,2413,0,13,9,13,36,155.0,12.0,1,5,0,3935,833,3,2,1,5,5,6
5039221090,1,91225054754,1164,0,20,14,20,0,155.0,12.0,1,5,0,10219,4874,5,3,3,5,9,1
5039221090,1,91225055874,22484,0,20,14,20,0,155.0,12.0,1,5,0,10219,4980,3,3,1,5,9,6
5039221094,0,91225073073,23434,0,2,2,2,20,155.0,12.0,1,5,0,9712,8101,3,1,1,5,1,6
5039221093,0,91225071202,869,0,36,16,35,10,155.0,12.0,1,5,0,6367,4890,5,4,3,5,12,1
5039221092,1,91225038367,14123,0,16,10,16,0,155.0,12.0,1,5,0,7838,821,6,2,4,5,4,2
5039221090,1,91225044387,44,0,20,14,20,0,155.0,12.0,1,5,0,10219,2502,3,2,1,5,5,6
5039221094,1,91225048169,965,0,2,2,2,0,155.0,12.0,1,5,0,9712,3140,1,3,2,5,7,0
5039221093,1,91225051686,17,0,36,16,35,0,155.0,12.0,1,5,0,6367,2705,2,3,7,5,8,5
5039221092,0,91225059115,403,0,16,10,16,3,155.0,12.0,1,5,0,7838,4729,2,4,7,5,10,5
5039221094,0,91225060355,296,0,2,2,2,20,155.0,12.0,1,5,0,9712,6054,2,4,7,5,10,5
5039221090,1,91225053264,2264,0,20,14,20,0,155.0,12.0,1,5,0,10219,4465,3,3,1,5,8,6
5039221094,1,91225039248,965,0,2,2,2,0,155.0,12.0,1,5,0,9712,1193,2,2,7,5,4,5
5039221088,0,91225072902,17010,0,19,13,19,19,155.0,12.0,1,5,0,287,238,3,1,1,5,1,6
5039221090,0,91225074165,2223,0,20,14,20,21,155.0,12.0,1,5,0,10219,8650,5,1,3,5,1,1
5039221094,1,91225050391,33535,0,2,2,2,0,155.0,12.0,1,5,0,9712,3723,5,3,3,5,7,1
5039221095,0,91225075956,33,0,13,9,13,2,155.0,12.0,1,5,0,3935,3927,2,1,7,5,2,5
5039221093,1,91225041885,24368,0,36,16,35,0,155.0,12.0,1,5,0,6367,1225,2,2,7,5,5,5
5039221094,1,91225056534,810,0,2,2,2,0,155.0,12.0,1,5,0,9712,5038,5,3,3,5,9,1
5039221090,1,91225036521,182960,2,20,14,20,0,155.0,12.0,1,5,0,10219,820,3,1,1,5,3,6
5039221090,0,91225070503,3565,0,20,14,20,21,155.0,12.0,1,5,0,10219,7492,3,4,1,5,12,6
5039221093,1,91225035030,302,0,36,16,35,0,155.0,12.0,1,5,0,6367,158,1,1,2,5,3,0
5039221090,1,91225043805,1942,0,20,14,20,0,155.0,12.0,1,5,0,10219,2557,1,2,2,5,6,0
5039221094,1,91225049106,10467,0,2,2,2,0,155.0,12.0,1,5,0,9712,3255,2,3,7,5,7,5
5039221094,0,91225064727,3100,0,2,2,2,20,155.0,12.0,1,5,0,9712,6947,5,4,3,5,11,1
5039221090,1,91225045142,3196,0,20,14,20,0,155.0,12.0,1,5,0,10219,2757,3,2,1,5,6,6
5039221094,1,91225038552,579,0,2,2,2,0,155.0,12.0,1,5,0,9712,1176,6,2,4,5,4,2
5039221092,0,91225067029,735,0,16,10,16,3,155.0,12.0,1,5,0,7838,6354,5,4,3,5,12,1
5039221090,0,91225065062,1892,0,20,14,20,21,155.0,12.0,1,5,0,10219,6909,6,4,4,5,11,2
5039221089,1,91225033395,367,0,18,12,18,0,155.0,12.0,1,44,3,2636,86,2,1,7,44,2,5
5039221092,1,91225050229,430,0,16,10,16,0,155.0,12.0,1,5,0,7838,2935,6,3,4,5,7,2
5039221095,0,91225076035,361,0,13,9,13,2,155.0,12.0,1,5,0,3935,3550,3,1,1,5,1,6
5039221095,1,91225038951,4527,0,13,9,13,36,155.0,12.0,1,5,0,3935,498,5,2,3,5,4,1
5039221094,0,91225073163,21377,0,2,2,2,20,155.0,12.0,1,5,0,9712,8117,3,1,1,5,1,6
5039221094,0,91225068676,5778,0,2,2,2,20,155.0,12.0,1,5,0,9712,7599,5,4,3,5,12,1
5039221070,0,91225071614,21522,0,42,21,41,1,155.0,12.0,1,5,0,341,290,1,1,2,5,1,0
5039221093,1,91225045419,25482,0,36,16,35,0,155.0,12.0,1,5,0,6367,1774,1,2,2,5,6,0
5039221083,5,91225037488,15193,0,44,3,43,0,155.0,12.0,1,57,3,253,5,4,1,5,57,4,3
5039221094,1,91225039300,75244,4,2,2,2,0,155.0,12.0,1,5,0,9712,1205,2,2,7,5,4,5
5039221094,0,91225077286,1455,0,2,2,2,20,155.0,12.0,1,5,0,9712,9497,2,1,7,5,2,5
5039221092,0,91225075582,305,0,16,10,16,3,155.0,12.0,1,5,0,7838,7636,6,1,4,5,2,2
5039221094,0,91225069225,42008,0,2,2,2,20,155.0,12.0,1,5,0,9712,7662,6,4,4,5,12,2
5039221092,0,91225062931,141802,1,16,10,16,3,155.0,12.0,1,5,0,7838,4943,3,4,1,5,11,6
5039221090,0,91225077813,16767,0,20,14,20,21,155.0,12.0,1,5,0,10219,10005,3,1,1,5,2,6
5039221089,0,91225069608,98369,4,18,12,18,14,155.0,12.0,1,55,3,2636,2200,6,4,4,55,12,2
5039221092,1,91225039051,1061,0,16,10,16,0,155.0,12.0,1,5,0,7838,1021,6,2,4,5,4,2
5039221090,1,91225057536,2238,0,20,14,20,0,155.0,12.0,1,5,0,10219,5453,5,3,3,5,9,1
5039221090,0,91225074220,74,0,20,14,20,21,155.0,12.0,1,5,0,10219,8795,3,1,1,5,1,6
